sample_id	fastq_file
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-G6_1.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-G6_2.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-G6_3.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-G6_4.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-G7_1.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-G7_2.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-G7_3.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-G7_4.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-G8_1.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-G8_2.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-G8_3.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-G8_4.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-G9_1.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-G9_2.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-G9_3.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-G9_4.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-G10_1.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-G10_2.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-G10_3.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-G10_4.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-G11_1.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-G11_2.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-G11_3.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-G11_4.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-G12_1.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-G12_2.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-G12_3.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-G12_4.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-F3_1.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-F3_2.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-F3_3.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-F3_4.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-F4_1.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-F4_2.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-F4_3.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-F4_4.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-F1_1.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-F1_2.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-F1_3.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-F1_4.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-F2_1.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-F2_2.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-F2_3.fastq.gz
PRJ180548_LL_38	PRJ180548_LL_38.Tsqn180801.SI-GA-F2_4.fastq.gz
